طبقه,زیربنا,خواب,تلفن,آشپزخانه,سرویس,کفپوش,OPEN,پارکینگ,انباری,بالکن,غربی,شرقی,شمالی,جنوبی,code
2,80,1,0,MDF,فرنگی,موزائيک,0,0,0,1,0,1,0,0,10416178
همكف,44,1,1,MDF,ايرانی,سراميک,1,0,1,1,0,0,0,0,10350480
همكف,76,2,1,MDF,ايراني فرنگي,سراميک,1,0,1,1,0,0,0,1,10416190
2,111,2,0,MDF,ايراني فرنگي,سنگ,1,0,1,1,0,0,1,1,10416192
3,233,4,1,MDF,ايراني فرنگي,سراميک,1,0,1,1,0,0,0,0,10259715
3,120,2,1,هایگلاس,ايراني فرنگي,سنگ,1,0,0,0,0,0,0,1,10301668
4,86,2,1,هایگلاس,ايراني فرنگي,سنگ,1,0,0,1,0,0,0,1,10351218
1,46,1,1,MDF,ايراني فرنگي,سراميک,1,0,0,0,0,0,1,0,10416198
2,108,2,1,MDF,ايراني فرنگي,سراميک,1,0,1,0,0,0,0,0,10268697
4,98,2,1,MDF,ايراني فرنگي,پارکت,0,0,1,1,0,0,1,1,10416204
2,143,3,1,MDF,ايراني فرنگي,سراميک,1,0,1,1,0,0,1,0,10243418
1,55,1,1,MDF,ايرانی,سراميک,1,0,0,0,0,0,1,0,10275346
4,49,1,1,MDF,ايرانی,سراميک,1,0,0,1,0,0,1,0,10275322
3,100,2,1,MDF,ايراني فرنگي,سنگ,1,0,0,1,0,0,1,0,10346375
3,90,2,1,MDF,ايرانی,سراميک,1,0,1,1,0,0,1,0,10267981
2,43,1,1,MDF,ايرانی,سراميک,1,0,1,0,0,0,1,0,10415661
5,77,2,1,MDF,ايراني فرنگي,سراميک,0,0,1,1,0,0,0,0,10416211
4,76,2,1,MDF,ايرانی,سراميک,1,0,1,1,0,0,0,1,3286261
1,96,2,1,MDF,ايراني فرنگي,سراميک,1,0,1,1,0,0,0,1,10133447
1,104,2,1,MDF,ايراني فرنگي,سنگ,1,0,0,1,0,0,0,1,10416213
6,113,2,1,MDF,ايراني فرنگي,سراميک,1,0,1,1,0,0,0,1,10275789
4,100,2,1,MDF,ايراني فرنگي,سنگ,1,0,1,1,1,0,0,1,10416215
2,72,2,1,MDF,ايراني فرنگي,سراميک,1,0,1,1,0,0,0,1,3906324
1,95,2,1,MDF,ايراني فرنگي,سراميک,1,0,0,1,0,1,0,0,10349996
1,71,2,1,MDF,ايرانی,سراميک,1,0,1,0,0,0,0,1,10351556
3,72,2,1,MDF,ايراني فرنگي,سراميک,1,0,0,0,0,0,1,0,10299397
2 و همكف,94,2,1,MDF,ايراني فرنگي,پارکت,1,0,1,1,0,0,1,0,10263267
3,84,2,0,چوبي,ايراني فرنگي,سراميک,1,0,1,1,0,0,0,1,10416219
2,177,3,1,MDF,ايراني فرنگي,پارکت,0,0,1,1,0,0,0,1,10298234
3,158,3,1,MDF,ايراني فرنگي,سنگ,1,0,1,1,0,0,1,0,10272212
3,70,2,1,MDF,ايرانی,سراميک,1,0,1,0,0,0,1,0,10267636
13,89,2,1,MDF,ايراني فرنگي,سراميک,1,0,1,1,1,0,0,0,10416220
