Unnamed: 0,کد ملک,تاریخ,آدرس,زیربنا,طبقه,سن بنا,قیمت واحد,قیمت کل
,3992534,1403/05/24,فرمانیه اندرزگو خ سلیمی شمالی,150,4,1,250000000,37500000000
,10276136,1403/05/24,اشرفی اصفهانی باغ فیض خ امیرابراهیم,80,3,15,115000000,9200000000
,10203051,1403/05/24,نامجو خ كاوه شرقی,138,2,30,57000000,7866000000
,10251352,1403/05/24,كن سولقان,112,4,10,52000000,5824000000
,10263256,1403/05/24,هنگام چهارراه استقلال,63,2,20,75396000,4750000000
,10335375,1403/05/24,امیرآباد كارگرشمالی,62,1,2,158064000,9800000000
,10299679,1403/05/24,شهران بلوار كوهسار,195,13,6,132000000,25740000000
,3884917,1403/05/24,شهرك راه آهن دهكده المپیك شهرك صدرا,128,10,0,104687000,13400000000
,10335533,1403/05/24,مجیدیه شمالی استاد حسن بنا شمالی,60,3,20,72500000,4350000000
,10332375,1403/05/24,آزادی خ اوستا,86,1,30,69767000,6000000000
,10274119,1403/05/24,دبستان نرسیده به خ شیخ شعبانی,100,4,1,120000000,12000000000
,10334148,1403/05/24,تهران پارس بلوار پروین خ 212,53,4,20,48110000,2550000000
,10257827,1403/05/24,بلوار فردوس شرق نرسیده به خ سلیمی جهرمی,83,4,12,110843000,9200000000
,10416160,1403/05/24,پونك بلوار عدل,66,4,20,95000000,6270000000
,10416159,1403/05/24,وحیدیه خ واشقانی,125,2,0,96000000,12000000000
,3393525,1403/05/24,خوش بالاتر از بوستان سعدی,153,5,0,84967000,13000000000
,10275641,1403/05/24,سبلان شمالی خ مطلب نژاد,59,زیرهمكف,20,44915000,2650000000
,10416157,1403/05/24,اشرفی اصفهانی باغ فیض,129,4,11,115116000,14850000000
,10251605,1403/05/24,دربند خ اسداللهی خ حسینی,162,2,25,123456000,20000000000
,3881362,1403/05/24,فرمانیه خ مهماندوست,255,4,10,219607000,56000000000
,10333608,1403/05/24,آجودانیه خ 13,160,2,17,180000000,28800000000
,10416156,1403/05/24,پونك سردارجنگل,130,2,1,130769000,17000000000
,10300827,1403/05/24,آجودانیه نرسیده به خ 14,110,1,22,170000000,18700000000
,10299750,1403/05/24,آجودانیه خ چهارم غربی,123,5,17,120000000,14760000000
,10266469,1403/05/24,نیاوران نخجوان,211,4,14,218000000,45998000000
,10265517,1403/05/24,فرمانیه نرسیده به خ عمار,215,2,20,180000000,38700000000
,10416155,1403/05/24,اشرفی اصفهانی باغ فیض,81,4,20,82716000,6700000000
,10299165,1403/05/24,دروازه شمیران نرسیده به خ رحمانی,160,5,2,110000000,17600000000
,10348264,1403/05/24,اشرفی اصفهانی شهرك نفت خ بهشت,74,2,8,132432000,9800000000
,10334138,1403/05/24,جنت آباد خ مخابرات,65,3,18,101538000,6600000000
,10334146,1403/05/24,جنت آباد مركز خ صفرخانلو,92,3,8,119565000,11000000000
,10299131,1403/05/24,بلوارمرزداران بلوار خرم رودی خ كاووسی,185,5,0,200000000,37000000000
,10296694,1403/05/24,قیطریه خ مهر,150,2,0,173333000,26000000000
,10255542,1403/05/24,قیطریه خ سهیل,75,مختلف,5,170000000,12750000000
,10416154,1403/05/24,قیطریه چیذر خ كلهری,220,1,2,200000000,44000000000
,10335312,1403/05/24,بلوار مرزداران خ سرسبزشمالی,95,5,12,147368000,14000000000
,10276423,1403/05/24,قیطریه چیذر خ بهمن پور,117,2,30,119658000,14000000000
,10334775,1403/05/24,دولت بالاتراز خ رزمجوبین,139,2,11,150000000,20850000000
,10416153,1403/05/24,قیطریه چیذر خ معصومی,62,زیرهمكف,20,79838000,4950000000
,10296690,1403/05/24,قیطریه خ مهر,113,2,5,154867000,17500000000
,10416152,1403/05/24,شهرزیبا بلوار تعاون,60,4,10,123333000,7400000000
,10274346,1403/05/24,دولت خ بهارجنوبی,65,1,18,150769000,9800000000
,10275446,1403/05/24,فرمانیه خ اندرزگو خ شریفی منش,100,2,0,220000000,22000000000
,10273455,1403/05/24,دولت خ جهانتاب,96,3,0,220000000,21120000000
,10272307,1403/05/24,فرمانیه خ اندرزگو,70,2,18,140000000,9800000000
,10416151,1403/05/24,تهران پارس خ امیری طائمه نرسیده به فلكه 1 خ ملكی,86,5,2,145340000,12500000000
,10275428,1403/05/24,قیطریه خ خراسانی,120,2,17,129166000,15500000000
,10276165,1403/05/24,قیطریه بلوار كاوه,127,2,15,149606000,19000000000
,10416150,1403/05/24,هفده شهریور خ 15 متری دوم شمالی,90,4,14,33333000,3000000000
,10416148,1403/05/24,نظام آباد خ مدنی جنوبی,111,مختلف,0,75000000,8325000000
,10416146,1403/05/24,بلوارمرزداران خ كمالو,90,1,7,170000000,15300000000
,10299256,1403/05/24,شهرزیبا بلوار تعاون,130,8,26,92300000,12000000000
,10299250,1403/05/24,شهرزیبا بلوار تعاون خ لاله,80,همكف,20,95000000,7600000000
,10119092,1403/05/24,بلوارفردوس غرب خ بهار شمالی خ عزتی,147,5,0,130000000,19110000000
,10266765,1403/05/24,بلوار فردوس غرب سازمان برنامه,220,3,0,229545000,50500000000
,10416136,1403/05/24,تهران پارس فلكه 4,135,2,10,100000000,13500000000
,10416134,1403/05/24,تهرانپارس خ 176,58,1,20,100000000,5800000000
,10351041,1403/05/24,توانیر خ نظامی گنجوی,137,1,30,131380000,18000000000
,10201689,1403/05/24,اشرفی اصفهانی باغ فیض,120,2,15,110000000,13200000000
,10353782,1403/05/24,شهرآرا خ پاتریس,89,1,2,151685000,13500000000
,10346753,1403/05/24,ستارخان خ خوش شمالی,115,5,30,69391000,7980000000
,10299148,1403/05/24,دریان نو خ هفتم,172,3,5,151162000,26000000000
,10416122,1403/05/24,طرشت خ حسین مردی,65,3,30,76923000,5000000000
,10186348,1403/05/24,اكباتان كوی بیمه,105,3,6,95238000,10000000000
,10416120,1403/05/24,ستارخان توحید,137,1,8,97080000,13300000000
,3791844,1403/05/24,میدان شهداء خ زرین نعل,65,5,18,70000000,4550000000
,10416116,1403/05/24,توحید نرسیده به خ فرصت,142,1,30,84507000,12000000000
,3561433,1403/05/24,ستارخان خ بهبودی,163,2 واحد,30,94171000,15350000000
,10000694,1403/05/24,اكباتان بیمه,132,1,9,110440000,14800000000
,10333989,1403/05/24,صادقیه فلكه اول خ رحیمی جنوبی,65,1,30,96923000,6300000000
,10416111,1403/05/24,نارمك خ سهیلیان جنوبی,76,2,13,103947000,7900000000
,10416110,1403/05/24,نارمك خ سهیلیان جنوبی,46,3,9,93478000,4300000000
,10416109,1403/05/24,جنت اباد خ مخبری,121,1,25,85000000,10285000000
,10333988,1403/05/24,طرشت خ حسین مردی,76,4,13,100000000,7600000000
,10271059,1403/05/24,بلوار مرزداران میدان لاله,71,3,24,83098000,5900000000
,10335468,1403/05/24,ستارخان خ كاشانی پور,130,10,0,165000000,21450000000
,10299346,1403/05/24,مجاهدین ك میرزایی,61,2,20,65573000,4000000000
,10262616,1403/05/24,جنت آباد مركزی بلوار مخبری,122,1,30,90160000,11000000000
,10335754,1403/05/24,بلوارمرزداران نرسیده به كوچه اروند,101,1,3,120000000,12120000000
,3879348,1403/05/24,اكباتان بیمه چهارم,135,5,0,110000000,14850000000
,2472624,1403/05/24,انتهای همت غرب بلوار كوهك,107,8,10,87000000,9309000000
,10260002,1403/05/24,بلوارمرزداران خ سپهر,165,1,5,215000000,35475000000
,10201350,1403/05/24,بلوارمرزداران بلوار خرم رودی,79,2,19,92405000,7300000000
,10416104,1403/05/24,بلوار فردوس غرب خ پروانه جنوبی,147,همكف,22,90000000,13230000000
,10177370,1403/05/24,بلوارمرزداران خ ابراهیمی,129,زیرهمكف,9,135000000,17415000000
,10147296,1403/05/24,آیت الله كاشانی بلوار اباذر,131,4,17,70229000,9200000000
,10240672,1403/05/24,بلوارمرزداران شرقی بلوار جانبازان,139,1,20,115100000,16000000000
,2391950,1403/05/24,مینی سیتی شهرك صدف,85,10,10,147058000,12500000000
,10301726,1403/05/24,بلوار فردوس غرب خ سازمان برنامه جنوبی,116,4,0,150860000,17500000000
,10268517,1403/05/24,آیت الله كاشانی خ نجف زاده,200,6,17,110000000,22000000000
,10266509,1403/05/24,آیت الله كاشانی گلستان دوم,139,3,6,145000000,20155000000
,10147988,1403/05/24,بلوار فردوس شرق خ محب,78,1,22,76923000,6000000000
,3891992,1403/05/24,بلوارفردوس شرق خ زمانی,125,4,0,155000000,19375000000
,10333116,1403/05/24,جنت آباد مركزی خ شاهین شمالی خ امام حسین,73,5,8,125000000,9125000000
,10299224,1403/05/24,شهران شیخ السلام,49,1,22,121420000,5950000000
,10161866,1403/05/24,اشرفی اصفهانی خ تختی,103,4,17,111650000,11500000000
,10335493,1403/05/24,سهروردی شمالی خ زینالی غربی,83,4,15,104216000,8650000000
,10241026,1403/05/24,سهروردی شمالی نرسیده به خ نیكان,105,4,12,125000000,13125000000
,10416098,1403/05/24,ستارخان خ بهبودی,105,3,11,102380000,10750000000
,10299461,1403/05/24,سهروردی شمالی نرسیده به خ زینالی شرقی,170,4,28,116470000,19800000000
,10334317,1403/05/24,صادقیه خ 27,118,2,0,135000000,15930000000
,10416097,1403/05/24,شهرآرا خ كوكب,112,2,24,89285000,10000000000
,10299242,1403/05/24,پیچ شمیران خ برادران قائدی خ نادری,75,4,2,96000000,7200000000
,10267724,1403/05/24,ستارخان خ توحید,168,5,18,100000000,16800000000
,10260440,1403/05/24,ستارخان خ ذوالفقاری,113,1,18,89495000,10113000000
,10302142,1403/05/24,ستارخان خ برادران توكلی,148,1,0,138513000,20500000000
,10247359,1403/05/24,اسكندری شمالی نرسیده به ك بهار,114,2,30,61400000,7000000000
,10268169,1403/05/24,صادقیه خ خسرو جنوبی,81,1,0,151851000,12300000000
,10205301,1403/05/24,شهرآراء خ هجدهم,100,3,23,90000000,9000000000
,10185120,1403/05/24,ستارخان خ شادمان,115,3,0,135000000,15525000000
,10177872,1403/05/24,اسكندری شمالی خ امیرلو,137,1,8,94890000,13000000000
,10116770,1403/05/24,دریان نو نرسیده به خ پنجم,81,1,1,148148000,12000000000
,10052433,1403/05/24,طرشت بلوار صالحی,140,1,16,120000000,12000000000
,10416093,1403/05/24,صادقیه فلكه اول خ گلنازجنوبی,97,1,0,125773000,12200000000
,10128280,1403/05/24,ولیعصر نرسیده به خ چهاردهم,89,4,30,108988000,9700000000
,10416085,1403/05/24,سعادت آباد میدان كتاب,90,10,17,105000000,9450000000
,10350001,1403/05/24,سعادت آباد خ پیوند,106,4,22,117924000,12500000000
,10416084,1403/05/24,سعادت آباد میدان كتاب,85,2,8,175000000,14875000000
,10416077,1403/05/24,سعادت آباد خ گلستان,129,2,19,165000000,21285000000
,10416073,1403/05/24,بلوار فردوس غرب بهار جنوبی,103,5,6,114563000,11800000000
,10241431,1403/05/24,سعادت آباد خ علامه شمالی,138,1,20,210000000,28980000000
,10052906,1403/05/24,سعادت آباد بالاتراز چهارراه سرو,123,8,19,146340000,18000000000
,3213634,1403/05/24,سعادت آباد شهرك مخابرات,115,2,20,217390000,25000000000
,10416064,1403/05/24,بلوار فردوس غرب بهار,116,3,6,137931000,16000000000
,10219340,1403/05/24,نارمك خ ثانی,40,همكف,24,100000000,4000000000
,10416060,1403/05/24,سعادت آباد میدان كاج,91,2,21,130000000,11830000000
,10416058,1403/05/24,بلوار فردوس غرب خ بنفشه,116,4,0,125000000,14500000000
,10416055,1403/05/24,سوهانك بالاتراز خ خندان,115,6,3,186956000,21500000000
,10351841,1403/05/24,سعادت آباد خ 24متری,140,6,6,253570000,35500000000
,10348060,1403/05/24,بلوارمرزداران خ فرشتگان,83,1,0,160000000,13280000000
,10416052,1403/05/24,اشرفی اصفهانی بالاتر از نیایش,149,2,0,165000000,24585000000
,10104010,1403/05/24,سعادت آباد بالاتر از میدان كاج,100,5,15,225000000,22500000000
,10416050,1403/05/24,اشرفی اصفهانی بالاتر از نیایش,130,1,0,161000000,20930000000
,10416049,1403/05/24,بزرگراه ارتش بلوار اوشان,150,3,20,113333000,17000000000
,10416048,1403/05/24,اوین خ ابوطالبی,114,2,5,210000000,23940000000
,10256696,1403/05/24,ازگل اراج خ صدرنژاد,107,3,18,126168000,13500000000
,10252319,1403/05/24,بزرگراه رسالت میدان دوازدهم,135,3,2,114000000,15390000000
,3998587,1403/05/24,ظفر نرسیده به خ نفت,158,2,30,117088000,18500000000
,10132983,1403/05/24,ظفر خ فرید افشار,101,3,11,150000000,15150000000
,10218297,1403/05/24,ظفر زرگنده خ عمرانی,50,زیرهمكف,25,100000000,5000000000
,10416042,1403/05/24,ظفر خ دلیری,62,2,18,125806000,7800000000
,10204428,1403/05/24,ظفر بالاتر از نفت ك ناجی,94,3,12,164893000,15500000000
,10416038,1403/05/24,مطهری نرسیده به سهروردی,92,4,18,85869000,7900000000
,10416037,1403/05/24,هفت تیر خ بهار شمالی,42,همكف,30,89285000,3750000000
,10240310,1403/05/24,لویزان شیان,94,3,14,106380000,10000000000
,3827869,1403/05/24,لویزان شیان خ فرشادی,70,1,20,100000000,7000000000
,10416034,1403/05/24,جنت آباد جنوبی خ جهاد اكبر,74,2,13,118918000,8800000000
,10299071,1403/05/24,ظفر نرسیده به خ پیوندی,83,2,15,150000000,12450000000
,10416032,1403/05/24,سهروردی شمالی نرسیده به خ سرمد,103,1,30,142718000,14700000000
,10416030,1403/05/24,آپادانا خ نوبخت,100,1,7,130000000,13000000000
,10416029,1403/05/24,سهروردی جنوبی نبش ك ایلوخانی,108,1,30,75920000,8200000000
,10416026,1403/05/24,وزرا نرسیده به ك 8,81,1,25,87654000,7100000000
,10416020,1403/05/24,فرجام خ عبادی,83,4,22,85540000,7100000000
,10416019,1403/05/24,هفت تیر خ بهار شمالی,110,1,30,65000000,7150000000
,10416016,1403/05/24,هنگام خ بهار,70,1,0,51420000,3600000000
,10416015,1403/05/24,خواجه نظام خ شیخ صفی,58,3,30,60340000,3500000000
,10199567,1403/05/24,دیباجی جنوبی خ محسنیان,120,3,0,200000000,24000000000
,3853871,1403/05/24,دولت نرسیده به مسجد اعظم,142,1,30,341549000,48500000000
,10268518,1403/05/24,بلوار فردوس شرق خ ابراهیمی,200,3,0,140000000,28000000000
,10245658,1403/05/24,دلاوران تكاوران شمالی,55,1,15,72720000,4000000000
,10261447,1403/05/24,فرمانیه اندرزگو,110,مختلف,0,220000000,24200000000
,10354148,1403/05/24,فرمانیه خ سلیمی شمالی,145,1,0,234482000,34000000000
,10347611,1403/05/24,دیباجی جنوبی خ تسلیمی,54,3,2,229629000,12400000000
,10077467,1403/05/24,دلاوران خ تكاوران شمالی,67,1,22,101490000,6800000000
,10416001,1403/05/24,دلاوران آزادگان شمالی,62,4,16,77410000,4800000000
,10415999,1403/05/24,هروی حسین آباد,113,8,1,125000000,14125000000
,10415997,1403/05/24,خواجه نظام خ اجاره دار,56,2,8,69640000,3900000000
,3998213,1403/05/24,فرجام بلوار اردیبهشت,64,3,14,171875000,11000000000
,10268230,1403/05/24,نامجو خ اكبر نژاد,97,مختلف,0,80000000,7760000000
,10261646,1403/05/24,جلفا خ سیمرغ,77,1,14,111688000,8600000000
,10415996,1403/05/24,پیچ شمیران خ نور محمدی,64,1,22,75000000,4800000000
,10415994,1403/05/24,تهرانپارس بین رشید و باقری,142,3,20,88020000,12500000000
,10415993,1403/05/24,زعفرانیه خ مقدس اردبیلی,116,4,6,228448000,26500000000
,10253510,1403/05/24,شهرك غرب میدان صنعت,150,1,25,160000000,24000000000
,10415984,1403/05/24,تجریش خ حدادی,70,همكف,30,164285000,11500000000
,3881080,1403/05/24,سعادت آباد خ آسمان ها,117,1,0,190000000,22230000000
,10091510,1403/05/24,گلبرگ غربی خ نوروزی فرد,130,5,2,90000000,11700000000
,10251963,1403/05/24,حافظ ك سپید,146,4,30,58904000,8600000000
,10244356,1403/05/24,نیاوران خ احمد زمانی خ جعفر شفیعی,121,2,17,144628000,17500000000
,10415973,1403/05/24,سعادت آباد خ مطهری شمالی,107,3,15,163551000,17500000000
,10415971,1403/05/24,حكیمیه فاز 2 كوی دانشگاه,100,1,21,85000000,8500000000
,2024645,1403/05/24,الهیه خ گلنار,400,7,12,300000000,120000000000
,10347811,1403/05/24,زعفرانیه مقدس اردبیلی,71,3,0,400000000,28400000000
,10242095,1403/05/24,زعفرانیه آصف,153,3,11,183000000,28000000000
,10297146,1403/05/24,ولنجك بالاتراز خ 20,90,2,17,277777000,25000000000
